Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
6.007991509	2.173710263	1.018901702	0.738864513	0	4.16E-02	0.299999994	1000
7.3710016	2.226620413	1.399461848	0.777327735	0	3.22E-02	0.299999994	1000
8.921278489	2.284405868	1.83225956	0.816946005	0	2.52E-02	0.299999994	1000
10.67957735	2.345297465	2.312814841	0.867471791	0	2.04E-02	0.299999994	1000
12.65059555	2.408066312	2.838859133	0.943413068	0	1.74E-02	0.299999994	1000
14.86080486	2.464655659	3.406380909	1.041099186	0	1.52E-02	0.299999994	1000
17.30296514	2.527790877	4.078363075	1.104914384	0	1.45E-02	0.299999994	1000
20.00263079	2.58840772	4.878936559	1.111923599	0	1.41E-02	0.299999994	1000
0.496625571	3.133489661	8.88E-03	8.18E-02	1.12E-02	9.69E-02	0.399999993	1000
0.783130918	2.431799992	2.01E-02	0.162333068	3.24E-02	9.87E-02	0.399999993	1000
1.157139345	2.220814526	4.23E-02	0.276705962	4.57E-02	9.75E-02	0.399999993	1000
1.633488883	2.157644826	8.41E-02	0.421481523	5.27E-02	9.53E-02	0.399999993	1000
2.227962176	2.152751532	0.159676408	0.585441529	5.48E-02	9.22E-02	0.399999993	1000
2.948306191	2.175496689	0.284204387	0.751210036	5.26E-02	8.85E-02	0.399999993	1000
3.811085142	2.212462481	0.484450707	0.904754765	4.75E-02	8.45E-02	0.399999993	1000
4.826833334	2.258778405	0.771637414	1.03782088	3.91E-02	8.05E-02	0.399999993	1000
6.013582099	2.308698305	1.162144611	1.139009746	2.73E-02	7.65E-02	0.399999993	1000
7.369730389	2.359776904	1.651805614	1.208317857	1.25E-02	7.26E-02	0.399999993	1000
8.923967391	2.410942887	2.246564986	1.253708761	0	6.68E-02	0.399999993	1000
10.68125166	2.468785341	2.915684182	1.300121376	0	5.31E-02	0.399999993	1000
12.65363067	2.530298953	3.654404971	1.359335141	0	4.31E-02	0.399999993	1000
17.29624391	2.654906875	5.329319295	1.560501078	0	3.14E-02	0.399999993	1000
20.00094556	2.706554019	6.294376559	1.681237789	0	2.73E-02	0.399999993	1000
0.791178816	2.669234187	1.88E-02	0.195062365	6.12E-02	0.123133876	0.499999993	1000
